timestamp,com_height,hip_angle_rad,knee_angle_rad,hip_torque,knee_torque,hip_effort,knee_effort
16.3701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4452,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.4951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.5001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.5001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.5051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
